谷:골짜기 골
根:뿌리 근
姓:성 성
婦:며느리 부
味:맛 미
氷:얼음 빙
波:물결 파
洞:골짜기 동
冷:찰 랭
洗:씻을 세
是:옳을 시
街:거리 가
新:새 신
堅:굳을 견
耕:밭갈 경
伐:칠 벌
顔:낯 안[얼굴]
齊衰:자최[옷가락자,상옷최]
微:작을 미
殘:잔인할 잔
論:말할 논
降:내릴 강
敢:감히 감
斷:끊을 단
城:성 성
傳:전할 전
傅:스승 부
絶:끊을 절
快:쾌할 쾌
打:칠 타
放:놓을 방
商:헤아릴 상
舊:예 구
視:볼 시
充:가득찰 충
戶:집 호
元:으뜸 원
儉:검소할 검
講:외울 강
烈:매울 열
移:옮길 이
而:말 이을 이
諸:모든 제
況:하물며 황
貌:얼굴 모
辭:말씀 사
窮:다할 궁
俱:함께 구
應:응할 응
特:수컷 특
瞬:깜짝일 순
初:처음 초
旬:열흘 순
巡:돌 순
査:조사할 사
脣:입술 순
敍:차례 서
誘:꾈 유
導:이끌 도
譯:통변할 역
演:멀리 흐를 연
劇:심할 극
推:옮을 추
移:옮길 이
抽:뽑을 추
夷:오랑캐 이
疏:트일 소
詳:자세할 상
昭:밝을 소
練:익힐 련
抗:막을 항
症:증세 증
奉:받들 봉
仕:벼슬 사
決:결단할 결
襲:염습할 습
裁:마를 재
